model,profile_id,precision_at_5,recall_at_5,ndcg_at_5,mean_relevance_at_5,intra_list_diversity_at_5,topic_diversity_at_5,format_diversity_at_5,provider_diversity_at_5,constraint_satisfaction_rate,knowledge_gap_coverage,average_popularity,long_tail_exposure,catalog_coverage
popularity,P001,0.8,0.024844720496894408,0.37211393506065904,1.0,0.849710090033924,0.7,0.6,0.6,1.0,1.0,0.8214,0.0,0.015
popularity,P002,1.0,0.008333333333333333,0.5594401368490773,1.2,0.849710090033924,0.7,0.6,0.6,1.0,1.0,0.8214,0.0,0.015
popularity,P003,1.0,0.008333333333333333,0.3333333333333333,1.0,0.849710090033924,0.7,0.6,0.6,1.0,0.0,0.8214,0.0,0.015
popularity,P004,0.8,0.016666666666666666,0.7112741403342752,1.4,0.8654701244069001,0.6,0.6,1.0,1.0,1.0,0.8017999999999998,0.0,0.015
popularity,P005,0.2,0.00390625,0.13120507751234178,0.4,0.849710090033924,0.7,0.6,0.6,1.0,0.5,0.8214,0.0,0.015
popularity,P006,0.4,0.010752688172043012,0.5531464700081437,0.8,0.8654701244069001,0.6,0.6,1.0,1.0,0.3333333333333333,0.8017999999999998,0.0,0.015
popularity,P007,1.0,0.008333333333333333,0.3333333333333333,1.0,0.849710090033924,0.7,0.6,0.6,1.0,0.0,0.8214,0.0,0.015
popularity,P008,1.0,0.012077294685990338,0.5338567867660998,1.4,0.8654701244069001,0.6,0.6,1.0,1.0,1.0,0.8017999999999998,0.0,0.015
popularity,P009,0.4,0.014598540145985401,0.1843821566693812,0.4,0.8654701244069001,0.6,0.6,1.0,1.0,0.0,0.8017999999999998,0.0,0.015
popularity,P010,1.0,0.012437810945273632,0.43071223322847096,1.2,0.8529022832449402,0.6,0.6,1.0,1.0,0.3333333333333333,0.7824,0.0,0.015
popularity,P011,1.0,0.008333333333333333,0.5594401368490773,1.2,0.849710090033924,0.7,0.6,0.6,1.0,0.5,0.8214,0.0,0.015
popularity,P012,1.0,0.012077294685990338,0.43071223322847096,1.2,0.8654701244069001,0.6,0.6,1.0,1.0,0.6666666666666666,0.8017999999999998,0.0,0.015
popularity,P013,1.0,0.008333333333333333,0.44638673509120536,1.2,0.8838972045037138,0.7,0.6,0.8,1.0,0.5,0.7968,0.0,0.015
popularity,P014,0.8,0.01639344262295082,0.39769728514363656,1.0,0.8529022832449402,0.6,0.6,1.0,1.0,0.5,0.7824,0.0,0.015
popularity,P015,0.2,0.004524886877828055,0.33916020527361607,0.4,0.849710090033924,0.7,0.6,0.6,1.0,1.0,0.8214,0.0,0.015
popularity,P016,1.0,0.008333333333333333,0.44638673509120536,1.2,0.8838972045037138,0.7,0.6,0.8,1.0,0.5,0.7968,0.0,0.015
popularity,P017,0.6,0.022222222222222223,0.3304505065120877,0.8,0.8654701244069001,0.6,0.6,1.0,1.0,1.0,0.8017999999999998,0.0,0.015
popularity,P018,1.0,0.008333333333333333,0.8573424901769816,1.8,0.849710090033924,0.7,0.6,0.6,1.0,1.0,0.8214,0.0,0.015
popularity,P019,0.4,0.010471204188481676,0.1843821566693812,0.4,0.8654701244069001,0.6,0.6,1.0,1.0,0.0,0.8017999999999998,0.0,0.015
popularity,P020,1.0,0.008333333333333333,0.9026211001048622,1.8,0.849710090033924,0.7,0.6,0.6,1.0,0.6666666666666666,0.8214,0.0,0.015
popularity,P021,1.0,0.008547008547008548,0.6469101885239719,1.4,0.8838972045037138,0.7,0.6,0.8,1.0,0.5,0.7968,0.0,0.015
popularity,P022,0.8,0.011267605633802818,0.7429498456882974,1.4,0.8838972045037138,0.7,0.6,0.8,1.0,0.6666666666666666,0.7968,0.0,0.015
popularity,P023,1.0,0.012437810945273632,0.5338567867660998,1.4,0.8654701244069001,0.6,0.6,1.0,1.0,0.5,0.8017999999999998,0.0,0.015
popularity,P024,1.0,0.012077294685990338,0.3333333333333333,1.0,0.8654701244069001,0.6,0.6,1.0,1.0,0.0,0.8017999999999998,0.0,0.015
popularity,P025,1.0,0.008547008547008548,0.3333333333333333,1.0,0.849710090033924,0.7,0.6,0.6,1.0,0.0,0.8214,0.0,0.015
popularity,P026,0.4,0.007067137809187279,0.15678842759531927,0.4,0.8838972045037138,0.7,0.6,0.8,1.0,0.0,0.7968,0.0,0.015
popularity,P027,0.2,0.0037313432835820895,0.16958010263680803,0.4,0.8838972045037138,0.7,0.6,0.8,1.0,0.5,0.7968,0.0,0.015
popularity,P028,1.0,0.012077294685990338,0.8869465982421278,1.8,0.8529022832449402,0.6,0.6,1.0,1.0,1.0,0.7824,0.0,0.015
popularity,P029,0.2,0.003355704697986577,0.33916020527361607,0.4,0.849710090033924,0.7,0.6,0.6,1.0,0.5,0.8214,0.0,0.015
popularity,P030,0.6,0.010135135135135136,0.7227265726449517,1.2,0.849710090033924,0.7,0.6,0.6,1.0,1.0,0.8214,0.0,0.015
popularity,P031,1.0,0.012077294685990338,0.3333333333333333,1.0,0.8529022832449402,0.6,0.6,1.0,1.0,0.0,0.7824,0.0,0.015
popularity,P032,0.4,0.010309278350515464,0.5531464700081437,0.8,0.8838972045037138,0.7,0.6,0.8,1.0,1.0,0.7968,0.0,0.015
popularity,P033,0.2,0.0048543689320388345,0.11305340175787203,0.2,0.849710090033924,0.7,0.6,0.6,1.0,0.0,0.8214,0.0,0.015
